procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
Mortgage Registration,,,500000,Residential,1,13,,1319.22,تسجيل رهن,1999-04-07,,,سكني,374,4,First Abu Dhabi Bank Metro Station,0,379.01,رهون,Mall of the Emirates,0.0,محطة مترو بنك أبوظبي الأول,1.0,1.0,Mortgages,مول الإمارات,2-13-1999-451,,,Villa,,Burj Al Arab,,Um Al Sheif,فيلا,2,2026-03-26 10:08:27,برج العرب,ام الشيف,Existing Properties,,,,العقارات القائمة,,
Mortgage Registration,,,500000,Residential,1,13,,1858.06,تسجيل رهن,2000-11-20,,,سكني,257,1,,0,269.1,رهون,,0.0,,1.0,1.0,Mortgages,,2-13-2000-1003,,,Land,,,,Al Khawaneej,أرض,2,2026-03-26 10:08:27,,الخوانيج,Existing Properties,,,,العقارات القائمة,,
Mortgage Registration,,,678028,Residential,1,13,,1132.21,تسجيل رهن,2004-08-18,,,سكني,354,4,Rashidiya Metro Station,0,598.85,رهون,City Centre Mirdif,0.0,محطة مترو الراشدية,1.0,1.0,Mortgages,سيتي سنتر مردف,2-13-2004-801,,,Villa,,Dubai International Airport,,Al Warqa Second,فيلا,2,2026-03-26 10:08:27,مطار دبي الدولي,الورقاء الثانيه,Existing Properties,,,,العقارات القائمة,,
Sell,,,16500000,Commercial,1,11,,5644.14,بيع,2005-01-31,,,تجاري,351,1,,0,2923.39,مبايعات,,0.0,,1.0,1.0,Sales,,1-11-2005-282,,,Land,,,,Al Thanyah Third,أرض,1,2026-03-26 10:08:27,,الثنيه الثالثة,Existing Properties,,,,العقارات القائمة,,
Sell,,,62880000,Commercial,1,11,,3651.09,بيع,2007-06-18,,,تجاري,368,2,Sharaf Dg Metro Station,0,17222.25,مبايعات,Mall of the Emirates,0.0,محطة مترو شرف دي جي,1.0,1.0,Sales,مول الإمارات,1-11-2007-1720,,,Building,,Burj Al Arab,,Al Barsha First,مبنى,1,2026-03-26 10:08:27,برج العرب,البرشاء الاولى,Existing Properties,,,,العقارات القائمة,,
Grant,Emirates Hills,,30000000,Commercial,1,9,,2580.39,هبه,2007-06-25,تلال الإمارات,,تجاري,352,4,Damac Properties,0,11626.15,هبات,Marina Mall,0.0,عقارات داماك,1.0,1.0,Gifts,مارينا مول,3-9-2007-110,,,Villa,Emirates Hills,Sports City Swimming Academy,,Al Thanayah Fourth,فيلا,3,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الرابعة,Existing Properties,,4000.0,,العقارات القائمة,,تلال الامارات
Lease to Own Registration,Emirates Living - Springs 3,,965000,Residential,1,110,4.0,350.69,تسجيل إيجارة تنتهى بالتملك,2007-09-03,روعة الإمارات ? الينابيع 3,,سكني,352,4,Damac Properties,0,2751.72,رهون,Marina Mall,2.0,عقارات داماك,2.0,2.0,Mortgages,مارينا مول,2-110-2007-100489,ثلاث غرف,2751.72,Villa,Springs - 6,Sports City Swimming Academy,3 B/R,Al Thanayah Fourth,فيلا,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الرابعة,Existing Properties,Villa,1033.0,965000.0,العقارات القائمة,فيلا,الينابيع - 6
Sell,,الرمال 4,599000,Residential,1,11,60.0,129.17,بيع,2007-09-19,,Rimal 4,سكني,330,3,Jumeirah Beach Residency,1,4637.3,مبايعات,Marina Mall,0.0,مساكن شاطئ جميرا,1.0,1.0,Sales,مارينا مول,1-11-2007-200594,غرفتين,,Unit,Jumeriah Beach Residence  - JBR,Burj Al Arab,2 B/R,Marsa Dubai,وحدة,1,2026-03-26 10:08:27,برج العرب,مرسى دبي,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,جميرا بيتش ريزيدنس  - الجيه بي آر 
Lease to Own Registration,,المجرة-1,662915,Residential,1,110,60.0,191.1,تسجيل إيجارة تنتهى بالتملك,2007-12-25,,Al Majara 1,سكني,330,3,Jumeirah Lakes Towers,1,3468.94,رهون,Marina Mall,4.0,أبراج بحيرات جميرا,2.0,2.0,Mortgages,مارينا مول,2-110-2007-200317,ثلاث غرف,3468.94,Unit,Dubai Marina,Burj Al Arab,3 B/R,Marsa Dubai,وحدة,2,2026-03-26 10:08:27,برج العرب,مرسى دبي,Existing Properties,Flat,,662915.0,العقارات القائمة,شقه سكنيه,دبي مارينا
Sell,,مارينا كراون تاور,1112800,Residential,1,11,60.0,135.35,بيع,2008-01-07,,MARINA CROWN TOWER,سكني,330,3,Mina Seyahi,1,8221.65,مبايعات,Marina Mall,0.0,مينا السياحي,1.0,1.0,Sales,مارينا مول,1-11-2008-200099,غرفتين,,Unit,Dubai Marina,Burj Al Arab,2 B/R,Marsa Dubai,وحدة,1,2026-03-26 10:08:27,برج العرب,مرسى دبي,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,دبي مارينا
Sell,,,2250000,Residential,1,11,,232.26,بيع,2008-02-05,,,سكني,233,4,Abu Hail Metro Station,0,9687.42,مبايعات,,0.0,محطة مترو أبو هيل,6.0,1.0,Sales,,1-11-2008-472,,,Villa,,Dubai International Airport,,Hor Al Anz,فيلا,1,2026-03-26 10:08:27,مطار دبي الدولي,هور العنز,Existing Properties,,,,العقارات القائمة,,
Sell,,,1480000,Residential,1,11,,1194.18,بيع,2008-04-15,,,سكني,296,1,,0,1239.34,مبايعات,,0.0,,1.0,1.0,Sales,,1-11-2008-1855,,,Land,The Villa,,,Al Ruwayyah,أرض,1,2026-03-26 10:08:27,,الرويه,Existing Properties,,,,العقارات القائمة,,ذا فيلا
Sell,,مانشستر تاور,280000,Residential,1,11,60.0,53.42,بيع,2008-06-26,,MANCHESTER TOWER,سكني,330,3,Jumeirah Beach Residency,1,5241.48,مبايعات,Marina Mall,0.0,مساكن شاطئ جميرا,1.0,1.0,Sales,مارينا مول,1-11-2008-203691,غرفة,,Unit,Dubai Marina,Sports City Swimming Academy,1 B/R,Marsa Dubai,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,مرسى دبي,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,دبي مارينا
Mortgage Registration,Emirates Hills,,36000000,Commercial,1,13,,1895.59,تسجيل رهن,2008-07-23,تلال الإمارات,,تجاري,352,1,Damac Properties,0,18991.45,رهون,Marina Mall,0.0,عقارات داماك,1.0,1.0,Mortgages,مارينا مول,2-13-2008-1768,,,Land,Emirates Hills,Sports City Swimming Academy,,Al Thanayah Fourth,أرض,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الرابعة,Existing Properties,,4000.0,,العقارات القائمة,,تلال الامارات
Sell,,ريزيدنس -2 - تاور 3,3388888,Residential,1,11,60.0,151.34,بيع,2008-09-16,,THE RESIDENCES II - TOWER 3,سكني,390,3,Buj Khalifa Dubai Mall Metro Station,1,22392.55,مبايعات,Dubai Mall,0.0,محطة مترو بوج خليفة دبي مول,1.0,1.0,Sales,مول دبي,1-11-2008-207084,غرفتين,,Unit,DownTown Dubai,Downtown Dubai,2 B/R,Burj Khalifa,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,برج خليفة,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,داون تاون دبي
Sell,,,1135888,Residential,1,11,4.0,347.18,بيع,2008-12-24,,,سكني,434,4,,0,3271.76,مبايعات,,0.0,,2.0,1.0,Sales,,1-11-2008-102391,ثلاث غرف,,Villa,Arabian Ranches - 1,Global Village,3 B/R,Wadi Al Safa 6,فيلا,1,2026-03-26 10:08:27,قرية عالمية,وادي الصفا 6,Existing Properties,Villa,,,العقارات القائمة,فيلا,المرابع العربية - 1
Sell,,واي - 25,270000,Residential,1,11,60.0,45.0,بيع,2008-12-30,,Y-25,سكني,343,3,Rashidiya Metro Station,0,6000.0,مبايعات,City Centre Mirdif,0.0,محطة مترو الراشدية,1.0,1.0,Sales,سيتي سنتر مردف,1-11-2008-211915,استوديو,,Unit,International City Phase 1,Dubai International Airport,Studio,Al Warsan First,وحدة,1,2026-03-26 10:08:27,مطار دبي الدولي,ورسان الاولى,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,المدينة العالمية - المرحلة الاولى
Sell,,واي - 08,380000,Residential,1,11,60.0,70.0,بيع,2009-01-26,,Y-08,سكني,343,3,Rashidiya Metro Station,0,5428.57,مبايعات,City Centre Mirdif,0.0,محطة مترو الراشدية,1.0,3.0,Sales,سيتي سنتر مردف,1-11-2009-202514,غرفة,,Unit,International City Phase 1,Dubai International Airport,1 B/R,Al Warsan First,وحدة,1,2026-03-26 10:08:27,مطار دبي الدولي,ورسان الاولى,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,المدينة العالمية - المرحلة الاولى
Lease to Own Registration,Emirates Living - Springs 4,,467899,Residential,1,110,4.0,243.69,تسجيل إيجارة تنتهى بالتملك,2009-03-02,روعة الإمارات ? الينابيع 4,,سكني,352,4,Nakheel Metro Station,0,1920.06,رهون,Marina Mall,4.0,محطة مترو النخيل,2.0,2.0,Mortgages,مارينا مول,2-110-2009-100060,غرفتين,1920.06,Villa,Springs - 5,Sports City Swimming Academy,2 B/R,Al Thanayah Fourth,فيلا,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الرابعة,Existing Properties,Villa,1034.0,467899.0,العقارات القائمة,فيلا,الينابيع - 5
Development Registration,,سيليكون ارش,954840,Residential,1,133,60.0,127.88,تسجيل حق منفعة,2009-03-11,,SILICON ARCH,سكني,285,3,,1,7466.69,مبايعات,,0.0,,1.0,1.0,Sales,,1-133-2009-200165,غرفتين,,Unit,Silicon Oasis,IMG World Adventures,2 B/R,Nad Al Shiba,وحدة,1,2026-03-26 10:08:27,آي إم جي وورلد أدفينتشرز,ند الشبا,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,واحة السيليكون
Sell - Pre registration,SILVERENE,برج سلفرين ايه,1580000,Residential,0,102,60.0,112.66,بيع - تسجيل مبدئى,2009-04-29,سلفرين,Silverene Towers A,سكني,330,3,Jumeirah Lakes Towers,1,14024.5,مبايعات,Marina Mall,0.0,أبراج بحيرات جميرا,1.0,1.0,Sales,مارينا مول,1-102-2007-28102,غرفتين,,Unit,Dubai Marina,Burj Al Arab,2 B/R,Marsa Dubai,وحدة,1,2026-03-26 10:08:27,برج العرب,مرسى دبي,Off-Plan Properties,Flat,129.0,,على الخارطة,شقه سكنيه,دبي مارينا
Sell,,ميد 103,527800,Residential,1,11,60.0,82.0,بيع,2009-05-14,,MED 103,سكني,284,3,Harbour Tower,0,6436.59,مبايعات,Ibn-e-Battuta Mall,0.0,برج هاربور,1.0,1.0,Sales,ابن بطوطة مول,1-11-2009-210333,غرفة,,Unit,Discovery Gardens,Sports City Swimming Academy,1 B/R,Jabal Ali,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,جبل على,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,الحدائق المكتشفة
Sell - Pre registration,THE PAD,THE PAD,8399160,Commercial,0,102,23.0,69.37,بيع - تسجيل مبدئى,2009-06-01,ذا باد,THE PAD,تجاري,526,3,Buj Khalifa Dubai Mall Metro Station,1,121077.7,مبايعات,Dubai Mall,0.0,محطة مترو بوج خليفة دبي مول,3.0,1.0,Sales,مول دبي,1-102-2007-28419,,,Unit,Business Bay,Downtown Dubai,,Business Bay,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,الخليج التجارى,Off-Plan Properties,Shop,1173.0,,على الخارطة,محل,الخليج التجاري
Sell,,موج  204,500000,Residential,1,11,60.0,81.0,بيع,2009-06-02,,MOG 204,سكني,284,3,Harbour Tower,0,6172.84,مبايعات,Ibn-e-Battuta Mall,0.0,برج هاربور,1.0,1.0,Sales,ابن بطوطة مول,1-11-2009-211470,غرفة,,Unit,Discovery Gardens,Sports City Swimming Academy,1 B/R,Jabal Ali,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,جبل على,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,الحدائق المكتشفة
Sell - Pre registration,HANOVER SQUARE,هانوفر سكوير,449777,Residential,0,102,60.0,32.84,بيع - تسجيل مبدئى,2009-06-15,ميدان هانوفر,HANOVER SQUARE,سكني,441,3,Dubai Internet City,1,13696.02,مبايعات,Mall of the Emirates,0.0,مدينة دبي للإنترنت,2.0,1.0,Sales,مول الإمارات,1-102-2007-17927,استوديو,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,Studio,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Off-Plan Properties,Flat,635.0,,على الخارطة,شقه سكنيه,قرية جميرا الدائرية
Sell,,كيو - 01,263000,Residential,1,11,60.0,45.0,بيع,2009-06-18,,Q-01,سكني,343,3,Rashidiya Metro Station,0,5844.44,مبايعات,City Centre Mirdif,0.0,محطة مترو الراشدية,2.0,2.0,Sales,سيتي سنتر مردف,1-11-2009-212748,استوديو,,Unit,International City Phase 1,,Studio,Al Warsan First,وحدة,1,2026-03-26 10:08:27,,ورسان الاولى,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,المدينة العالمية - المرحلة الاولى
Mortgage Pre-Registration,SEASONS COMMUNITY- AUTUMN,الخريف 2,1146417,Residential,0,105,60.0,163.85,تسجيل رهن - تسجيل مبدئى,2009-07-01,سيزون كومينتي - الخريف,AUTUMN 2,سكني,441,3,Dubai Internet City,1,6996.75,رهون,Marina Mall,0.0,مدينة دبي للإنترنت,1.0,2.0,Mortgages,مارينا مول,2-105-2007-797,غرفتين,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,2 B/R,Al Barsha South Fourth,وحدة,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Off-Plan Properties,Flat,142.0,,على الخارطة,شقه سكنيه,قرية جميرا الدائرية
Lease to Own Registration Pre-Registration,SULAFA TOWER,برج سلافة,2168470,Residential,0,107,60.0,178.28,تسجيل إيجارة تنتهى بالتملك - تسجيل مبدئى,2009-08-24,برج سلافة,Sulafa Tower,سكني,330,3,Mina Seyahi,1,12163.28,مبايعات,Marina Mall,2.0,مينا السياحي,2.0,2.0,Sales,مارينا مول,1-107-2008-1270,ثلاث غرف,,Unit,Dubai Marina,Burj Al Arab,3 B/R,Marsa Dubai,وحدة,1,2026-03-26 10:08:27,برج العرب,مرسى دبي,Off-Plan Properties,Flat,40.0,,على الخارطة,شقه سكنيه,دبي مارينا
Sell - Pre registration,OASIS TOWER 2,OASIS TOWER 2,427369,Residential,0,102,60.0,42.1,بيع - تسجيل مبدئى,2009-10-15,أويسس تاور 2,OASIS TOWER 2,سكني,435,3,Nakheel Metro Station,0,10151.28,مبايعات,Marina Mall,0.0,محطة مترو النخيل,1.0,1.0,Sales,مارينا مول,1-102-2007-18991,استوديو,,Unit,Dubai Sports City,Sports City Swimming Academy,Studio,Al Hebiah Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الحبيه الرابعة,Off-Plan Properties,Flat,1560.0,,على الخارطة,شقه سكنيه,مدينة دبي الرياضية
Sell,,برج ليك هوتيل - العنوان دون تاون,1640888,Hospitality ,1,11,101.0,73.95,بيع,2009-10-29,,Burj Lake Hotel - The Address DownTown,ضيافة,390,3,Buj Khalifa Dubai Mall Metro Station,1,22189.15,مبايعات,Dubai Mall,0.0,محطة مترو بوج خليفة دبي مول,1.0,1.0,Sales,مول دبي,1-11-2009-218543,غرفة,,Unit,DownTown Dubai,Downtown Dubai,1 B/R,Burj Khalifa,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,برج خليفة,Existing Properties,Hotel Apartment,,,العقارات القائمة,شقة فندقية,داون تاون دبي
Sell,,8 بوليفارد واك,970000,Residential,1,11,60.0,80.36,بيع,2009-11-03,,8 BLVD WALK,سكني,390,3,Business Bay Metro Station,1,12070.68,مبايعات,Dubai Mall,0.0,محطة مترو الخليج التجاري,1.0,1.0,Sales,مول دبي,1-11-2009-218930,غرفة,,Unit,DownTown Dubai,Downtown Dubai,1 B/R,Burj Khalifa,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,برج خليفة,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,داون تاون دبي
Lease to Own Registration,,ميد 85,363150,Residential,1,110,60.0,45.84,تسجيل إيجارة تنتهى بالتملك,2009-11-09,,MED 85,سكني,284,3,Harbour Tower,0,7922.12,مبايعات,Ibn-e-Battuta Mall,2.0,برج هاربور,2.0,2.0,Sales,ابن بطوطة مول,1-110-2009-202740,استوديو,,Unit,Discovery Gardens,Sports City Swimming Academy,Studio,Jabal Ali,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,جبل على,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,الحدائق المكتشفة
Sell,,لينكس ايست تي 2,1300000,Residential,1,11,60.0,70.42,بيع,2009-12-08,,LINKS EAST T2,سكني,351,3,Nakheel Metro Station,0,18460.66,مبايعات,Marina Mall,0.0,محطة مترو النخيل,1.0,1.0,Sales,مارينا مول,1-11-2009-220165,غرفة,,Unit,The Greens,Burj Al Arab,1 B/R,Al Thanyah Third,وحدة,1,2026-03-26 10:08:27,برج العرب,الثنيه الثالثة,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,الروضة
Sell - Pre registration,BADRA PHASE 1,المنارة 6,864100,Residential,0,102,60.0,143.59,بيع - تسجيل مبدئى,2010-01-19,بدرة المرحلة الأولى,MANARA 6,سكني,522,3,UAE Exchange Metro Station,1,6017.83,مبايعات,,0.0,محطة مترو الإمارات العربية المتحدة للصرافة,1.0,1.0,Sales,,1-102-2008-38181,غرفة,,Unit,Badra,Dubai Parks and Resorts,1 B/R,Hessyan First,وحدة,1,2026-03-26 10:08:27,دبي باركس اند ريزورتس,حصيان الاولى,Off-Plan Properties,Flat,1735.0,,على الخارطة,شقه سكنيه,بدرة
Sell,ALSHERA TOWER,الشراع,1138150,Residential,1,11,60.0,165.74,بيع,2010-02-02,برج الشراع,AL SHERA,سكني,350,3,Jumeirah Lakes Towers,1,6867.08,مبايعات,Marina Mall,0.0,أبراج بحيرات جميرا,2.0,1.0,Sales,مارينا مول,1-11-2010-1033,غرفتين,,Unit,Jumeirah Lakes Towers,Sports City Swimming Academy,2 B/R,Al Thanyah Fifth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الخامسة,Existing Properties,Flat,687.0,,العقارات القائمة,شقه سكنيه, ابراج بحيرات الجميرا
Sell - Pre registration,EMIRATES GARDEN I - ROSE 1,اميراتس جاردينز 1 ار2  ,1212410,Residential,0,102,60.0,171.96,بيع - تسجيل مبدئى,2010-02-23,الإمارات حديقة 1 - روز 1,Emirates Gardens 1 - R2,سكني,441,3,Dubai Internet City,1,7050.54,مبايعات,Mall of the Emirates,0.0,مدينة دبي للإنترنت,1.0,1.0,Sales,مول الإمارات,1-102-2006-11691,غرفتين,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,2 B/R,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Off-Plan Properties,Flat,1434.0,,على الخارطة,شقه سكنيه,قرية جميرا الدائرية
Sell - Pre registration,THE WIND TOWER I,WIND ONE,512902,Residential,0,102,60.0,61.11,بيع - تسجيل مبدئى,2010-06-02,وند تاور  I,WIND ONE,سكني,350,3,Jumeirah Lakes Towers,1,8393.09,مبايعات,Marina Mall,0.0,أبراج بحيرات جميرا,1.0,1.0,Sales,مارينا مول,1-102-2004-39,غرفة,,Unit,Jumeirah Lakes Towers,Sports City Swimming Academy,1 B/R,Al Thanyah Fifth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الخامسة,Off-Plan Properties,Flat,398.0,,على الخارطة,شقه سكنيه, ابراج بحيرات الجميرا
Sell - Pre registration,THE WIND TOWER II,THE WIND TOWER II,517517,Residential,0,102,60.0,84.57,بيع - تسجيل مبدئى,2010-06-09,وند تاور II,THE WIND TOWER II,سكني,350,3,Jumeirah Lakes Towers,1,6119.39,مبايعات,Marina Mall,0.0,أبراج بحيرات جميرا,1.0,1.0,Sales,مارينا مول,1-102-2005-1188,غرفة,,Unit,Jumeirah Lakes Towers,Sports City Swimming Academy,1 B/R,Al Thanyah Fifth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الخامسة,Off-Plan Properties,Flat,399.0,,على الخارطة,شقه سكنيه, ابراج بحيرات الجميرا
Sell - Pre registration,DD BOULEVARD CENTRAL,بوليفارد سنترال 2,1988888,Residential,0,102,60.0,121.05,بيع - تسجيل مبدئى,2010-06-29,د د بوليفارد سنترال,BLVD CENTRAL 2,سكني,390,3,Buj Khalifa Dubai Mall Metro Station,1,16430.3,مبايعات,Dubai Mall,0.0,محطة مترو بوج خليفة دبي مول,1.0,1.0,Sales,مول دبي,1-102-2007-19023,غرفتين,,Unit,DownTown Dubai,Downtown Dubai,2 B/R,Burj Khalifa,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,برج خليفة,Off-Plan Properties,Flat,1274.0,,على الخارطة,شقه سكنيه,داون تاون دبي
Lease to Own Registration,,MED 66,335280,Residential,1,110,60.0,45.0,تسجيل إيجارة تنتهى بالتملك,2010-07-21,,MED 66,سكني,445,3,Harbour Tower,0,7450.67,رهون,Ibn-e-Battuta Mall,2.0,برج هاربور,2.0,2.0,Mortgages,ابن بطوطة مول,2-110-2010-1878,استوديو,7450.67,Unit,Discovery Gardens,Sports City Swimming Academy,Studio,Jabal Ali First,وحدة,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,جبل علي الأولى,Existing Properties,Flat,,335280.0,العقارات القائمة,شقه سكنيه,الحدائق المكتشفة
Sell,CITADEL TOWER,سيتادل تاور,1158780,Commercial,1,11,42.0,82.48,بيع,2010-07-28,برج سيتادل,Citadel Tower,تجاري,526,3,Business Bay Metro Station,1,14049.22,مبايعات,Dubai Mall,0.0,محطة مترو الخليج التجاري,1.0,1.0,Sales,مول دبي,1-11-2010-11616,مكتب,,Unit,Business Bay,Downtown Dubai,Office,Business Bay,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,الخليج التجارى,Existing Properties,Office,45.0,,العقارات القائمة,مكتب,الخليج التجاري
Sell,,ادرياتيك,3350419,Residential,1,11,60.0,211.81,بيع,2010-08-10,,ADRIATIC,سكني,410,3,Palm Jumeirah,1,15818.04,مبايعات,Marina Mall,0.0,نخلة جميرا,1.0,1.0,Sales,مارينا مول,1-11-2010-12211,ثلاث غرف,,Unit,Palm Jumeirah,Burj Al Arab,3 B/R,Palm Jumeirah,وحدة,1,2026-03-26 10:08:27,برج العرب,نخلة جميرا,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,نخلة جميرا
Lease to Own Registration,,ميسكا 3,1627888,Residential,1,110,60.0,117.24,تسجيل إيجارة تنتهى بالتملك,2010-08-26,,MISKA 3,سكني,390,3,Buj Khalifa Dubai Mall Metro Station,1,13885.09,مبايعات,Dubai Mall,2.0,محطة مترو بوج خليفة دبي مول,2.0,2.0,Sales,مول دبي,1-110-2010-2386,غرفتين,,Unit,DownTown Dubai,Downtown Dubai,2 B/R,Burj Khalifa,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,برج خليفة,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,داون تاون دبي
Modify Mortgage,,,2700000,Residential,1,14,,1116.32,تعديل رهن,2010-10-04,,,سكني,264,4,Rashidiya Metro Station,0,2418.66,رهون,City Centre Mirdif,0.0,محطة مترو الراشدية,1.0,1.0,Mortgages,سيتي سنتر مردف,2-14-2010-446,,,Villa,,Dubai International Airport,,Nad Al Hamar,فيلا,2,2026-03-26 10:08:27,مطار دبي الدولي,ند الحمر,Existing Properties,,,,العقارات القائمة,,
Sell - Pre registration,LAGUNA TOWER,لجونا تاور,2055000,Residential,0,102,60.0,185.42,بيع - تسجيل مبدئى,2010-10-12, لاغونا تاور,LAGUNA TOWER,سكني,350,3,Jumeirah Lakes Towers,1,11082.95,مبايعات,Marina Mall,0.0,أبراج بحيرات جميرا,1.0,1.0,Sales,مارينا مول,1-102-2007-6453,ثلاث غرف,,Unit,Jumeirah Lakes Towers,Sports City Swimming Academy,3 B/R,Al Thanyah Fifth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الخامسة,Off-Plan Properties,Flat,389.0,,على الخارطة,شقه سكنيه, ابراج بحيرات الجميرا
Mortgage Registration,ICON TOWER,ايكون تاور,53230,Storage,1,13,68.0,16.7,تسجيل رهن,2010-10-18,برج ايكون,ICON TOWER,تخزين,443,3,Dubai Internet City,1,3187.43,رهون,Mall of the Emirates,0.0,مدينة دبي للإنترنت,1.0,1.0,Mortgages,مول الإمارات,2-13-2010-5466,مخزن,,Unit,Barsha Heights,Burj Al Arab,Store,Al Thanyah First,وحدة,2,2026-03-26 10:08:27,برج العرب,الثنيه الأولى,Existing Properties,Store,318.0,,العقارات القائمة,مخزن,مرتفعات برشا
Sell,,,4200000,Residential,1,11,,1257.91,بيع,2010-12-21,,,سكني,328,4,Al Jafiliya Metro Station,0,3338.87,مبايعات,Dubai Mall,0.0,محطة مترو الجافلية,1.0,1.0,Sales,مول دبي,1-11-2010-18176,,,Villa,,Burj Khalifa,,Al Jafliya,فيلا,1,2026-03-26 10:08:27,برج خليفة,الجافليه,Existing Properties,,,,العقارات القائمة,,
Mortgage Registration,,ويست هايتس 5,2114250,Residential,1,13,60.0,266.91,تسجيل رهن,2011-03-03,,WEST HEIGHTS 5,سكني,390,3,Business Bay Metro Station,1,7921.21,رهون,Dubai Mall,0.0,محطة مترو الخليج التجاري,1.0,2.0,Mortgages,مول دبي,2-13-2011-1354,أربع غرف,,Unit,Business Bay,Burj Khalifa,4 B/R,Burj Khalifa,وحدة,2,2026-03-26 10:08:27,برج خليفة,برج خليفة,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه,الخليج التجاري
Lease to Own Registration,MARINA QUAYS,مارينا كيز ويست,1272888,Residential,1,110,60.0,127.0,تسجيل إيجارة تنتهى بالتملك,2011-04-06,أرصفة مارينا,Marina Quay West,سكني,330,3,Jumeirah Beach Resdency,1,10022.74,مبايعات,Marina Mall,2.0,مساكن شاطئ الجميرا,2.0,2.0,Sales,مارينا مول,1-110-2011-840,غرفتين,,Unit,Dubai Marina,Burj Al Arab,2 B/R,Marsa Dubai,وحدة,1,2026-03-26 10:08:27,برج العرب,مرسى دبي,Existing Properties,Flat,1456.0,,العقارات القائمة,شقه سكنيه,دبي مارينا
