procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
Delayed Sell,Tilal AL Furjan- Phase One,,4970000,Commercial,1,41,,367.5,بيع مبدئى,2025-07-21,تلال الفرجان - المرحلة الأولى,,تجاري,445,1,,0,13523.81,مبايعات,,0.0,,1.0,1.0,Sales,,1-41-2025-21665,,,Land,Al Furjan,,,Jabal Ali First,أرض,1,2026-03-26 10:08:27,,جبل علي الأولى,Existing Properties,,2338.0,,العقارات القائمة,,الفرجان
Sell - Pre registration,Binghatti Ruby,بن غاطي روبي,887499,Residential,0,102,60.0,35.98,بيع - تسجيل مبدئى,2025-07-23,بن غاطي روبي,Binghatti Ruby,سكني,441,3,Dubai Internet City,1,24666.45,مبايعات,Mall of the Emirates,0.0,مدينة دبي للإنترنت,1.0,1.0,Sales,مول الإمارات,1-102-2025-65741,استوديو,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,Studio,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Off-Plan Properties,Flat,3533.0,,على الخارطة,شقه سكنيه,قرية جميرا الدائرية
Sell,REVA RESIDENCES,ريفا ريزيدنسز,1040000,Residential,1,11,60.0,43.8,بيع,2025-07-25,ريفا ريزيدنسز,REVA RESIDENCES,سكني,526,3,Buj Khalifa Dubai Mall Metro Station,1,23744.29,مبايعات,Dubai Mall,0.0,محطة مترو بوج خليفة دبي مول,2.0,1.0,Sales,مول دبي,1-11-2025-31454,غرفة,,Unit,Business Bay,Downtown Dubai,1 B/R,Business Bay,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,الخليج التجارى,Existing Properties,Flat,2018.0,,العقارات القائمة,شقه سكنيه,الخليج التجاري
Development Registration Pre-Registration,Oasis Loft,اويسيس لوفت,542441,Residential,0,851,60.0,37.68,تسجيل حق منفعة - تسجيل مبدئي,2025-07-29,اويسيس لوفت,Oasis Loft,سكني,484,3,,1,14395.99,مبايعات,,0.0,,1.0,1.0,Sales,,1-851-2025-168,استوديو,,Unit,Silicon Oasis,IMG World Adventures,Studio,Nadd Hessa,وحدة,1,2026-03-26 10:08:27,آي إم جي وورلد أدفينتشرز,ند حصة,Off-Plan Properties,Flat,3424.0,,على الخارطة,شقه سكنيه,واحة السيليكون
Sell - Pre registration,Atelis at d3,أتليس في حي دبي للتصميم,4249000,Residential,0,102,60.0,131.8,بيع - تسجيل مبدئى,2025-07-29,أتيليس في حي دبي للتصميم,Atelis at d3,سكني,332,3,,1,32238.24,مبايعات,,0.0,,2.0,1.0,Sales,,1-102-2025-68496,غرفتين,,Unit,Business Park,,2 B/R,Zaabeel Second,وحدة,1,2026-03-26 10:08:27,,زعبيل الثانيه,Off-Plan Properties,Flat,3750.0,,على الخارطة,شقه سكنيه,بزنس بارك
Sell,LIVA,ليفا,825000,Residential,1,11,60.0,63.49,بيع,2025-08-06,ليفا,LIVA,سكني,507,3,,1,12994.17,مبايعات,,0.0,,1.0,1.0,Sales,,1-11-2025-33071,غرفة,,Unit,TOWN SQUARE,Dubai Cycling Course,1 B/R,Al Yelayiss 2,وحدة,1,2026-03-26 10:08:27,دورة دبي للدراجات,اليلايس 2,Existing Properties,Flat,2492.0,,العقارات القائمة,شقه سكنيه,تاون سكوير
Sell,JUMEIRAH BUSINESS CENTRE 4,جاي بي سي 4,2588056,Commercial,1,11,42.0,95.15,بيع,2025-08-11,جميرا بزنس سنتر 4,JBC4,تجاري,350,3,Jumeirah Lakes Towers,1,27199.75,مبايعات,Marina Mall,0.0,أبراج بحيرات جميرا,1.0,1.0,Sales,مارينا مول,1-11-2025-33639,,,Unit,Jumeirah Lakes Towers,Sports City Swimming Academy,,Al Thanyah Fifth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الثنيه الخامسة,Existing Properties,Office,504.0,,العقارات القائمة,مكتب, ابراج بحيرات الجميرا
Sell,TUSCAN RESIDENCES1 - AREZZO,تاسكون ريزيدنس 1 - أريزو 1,751000,Residential,1,11,60.0,104.98,بيع,2025-08-11,مساكن توسكان 1 - أريزو,TUSCAN RESIDENCES1-AREZZO 1,سكني,441,3,Dubai Internet City,1,7153.74,مبايعات,Mall of the Emirates,0.0,مدينة دبي للإنترنت,1.0,1.0,Sales,مول الإمارات,1-11-2025-33525,غرفة,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,1 B/R,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Existing Properties,Flat,1437.0,,العقارات القائمة,شقه سكنيه,قرية جميرا الدائرية
Sell,,جرين ليكس اس 1,1470000,Residential,1,11,60.0,91.09,بيع,2025-08-18,,GREEN LAKES S1,سكني,350,3,Damac Properties,1,16137.89,مبايعات,Marina Mall,0.0,عقارات داماك,2.0,2.0,Sales,مارينا مول,1-11-2025-34473,غرفة,,Unit,Jumeirah Lakes Towers,Burj Al Arab,1 B/R,Al Thanyah Fifth,وحدة,1,2026-03-26 10:08:27,برج العرب,الثنيه الخامسة,Existing Properties,Flat,,,العقارات القائمة,شقه سكنيه, ابراج بحيرات الجميرا
Sell,29 BOULEVARD,29 بوليفارد تي 1,2900000,Residential,1,11,60.0,130.14,بيع,2025-08-28,29 بوليفارد,29 BLVD T1,سكني,390,3,Buj Khalifa Dubai Mall Metro Station,1,22283.69,مبايعات,Dubai Mall,0.0,محطة مترو بوج خليفة دبي مول,1.0,1.0,Sales,مول دبي,1-11-2025-36006,غرفتين,,Unit,DownTown Dubai,Downtown Dubai,2 B/R,Burj Khalifa,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,برج خليفة,Existing Properties,Flat,1276.0,,العقارات القائمة,شقه سكنيه,داون تاون دبي
Sell,THE HEART OF EUROPE 2,كوت دي أزور- م,748000,Hospitality ,1,11,112.0,37.9,بيع,2025-09-10,ذا هارت أوف يوروب 2 ,COTE D'AZUR - M,ضيافة,413,3,,0,19736.15,مبايعات,,0.0,,1.0,1.0,Sales,,1-11-2025-37791,استوديو,,Unit,The World,,Studio,World Islands,وحدة,1,2026-03-26 10:08:27,,جزر العالم,Existing Properties,Hotel Rooms,1842.0,,العقارات القائمة,غرفة فندقية,جزر العالم
Sell - Pre registration,DISTRIKT,ديستركت-2,3117000,Residential,0,102,60.0,140.56,بيع - تسجيل مبدئى,2025-09-16,ديستركت,Distrikt-2,سكني,466,3,,1,22175.58,مبايعات,,0.0,,1.0,1.0,Sales,,1-102-2025-85347,غرفتين,,Unit,,,2 B/R,Wadi Al Safa 4,وحدة,1,2026-03-26 10:08:27,,وادي الصفا 4,Off-Plan Properties,Flat,3503.0,,على الخارطة,شقه سكنيه,
