STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,UNIT_MEASURE,Unit of measure,REF_AREA,Reference area,FREQ,Frequency,H_TYPE,Hotel Type,H_INDICATOR,Hotels Indicator,GUEST_REGION,Guests Nationality,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_COMMENT,Footnotes,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,DELSUP,Deluxe - Superior,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,129,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,367,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,339,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,315,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,229,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,155704,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,37134,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,34184,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,30365,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,34040,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,31965,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,31213,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,31046,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,DELSUP,Deluxe - Superior,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,20489,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,DELSUP,Deluxe - Superior,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,20173,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,DELSUP,Deluxe - Superior,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,19269,,,,,,,,,
